,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
153,"Starting Over","Chris Stapleton",235940,https://open.spotify.com/track/3K07bGe8iljQ3mOKArHLDo
154,"Ballin' (with Roddy Ricch)",Mustard,235650,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
155,"Beautiful Crazy","Luke Combs",235485,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
156,Masterpiece,DaBaby,235394,https://open.spotify.com/track/26UxwWl9xCb83OynXELJcL
157,Righteous,"Juice WRLD",234461,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
158,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",234224,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
159,Sofia,Clairo,233585,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
160,"Dear Maria, Count Me In","All Time Low",233482,https://open.spotify.com/track/0JJP0IS4w0fJx01EcrfkDe
161,"Roses - Imanbek Remix","SAINt JHN",232457,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
162,"Everybody Dies In Their Nightmares",XXXTENTACION,232361,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
163,"Tongue Tied",Grouplove,232331,https://open.spotify.com/track/0GO8y8jQk1PkHzS31d699N
164,"SICKO MODE","Travis Scott",231674,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
165,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,230745,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
166,"Train Wreck","James Arthur",230078,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
167,"After Party","Don Toliver",229757,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
168,ROXANNE,"Arizona Zervas",229167,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
169,"Buss It","Erica Banks",227676,https://open.spotify.com/track/25j0Sape7qZbq6ZPLFefTT
170,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",227150,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
171,"Line Without a Hook","Ricky Montgomery",226351,https://open.spotify.com/track/5NvOZCjZaGGGL597exlQWv
172,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",225312,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
173,"Say You Won't Let Go","James Arthur",224260,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
174,Falling,"Harry Styles",220224,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
175,"Mr Loverman","Ricky Montgomery",220186,https://open.spotify.com/track/2IVsRhKrx8hlQBOWy4qebo
176,"Reminds Me Of You","Juice WRLD",219736,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
177,Dangerous,"Morgan Wallen",219437,https://open.spotify.com/track/1MX19fnaW1OUQoglWTYaOo
178,F.N,"Lil Tjay",219256,https://open.spotify.com/track/0RLLvYBopDwooCyvnTwgYu
179,July,"Noah Cyrus",217606,https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB
180,"We Paid (feat. 42 Dugg)","Lil Baby",217467,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp
181,"In Your Eyes","The Weeknd",217448,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
182,"WHATS POPPIN","Jack Harlow",216880,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
183,"I Fall Apart","Post Malone",216609,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
184,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",216100,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
185,"GIRL LIKE ME","Black Eyed Peas",216005,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
186,"Remember That Night?","Sara Kays",215462,https://open.spotify.com/track/1nYzjrdVQ8RpF93M0jPFW7
187,"Took Her To The O","King Von",215197,https://open.spotify.com/track/7fEoXCZTZFosUFvFQg1BmW
188,"Smile (with The Weeknd)","Juice WRLD",213219,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
